boro_cd,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_rate,weekday_rate,weekend_uplift,count_warm,count_cool,warm_rate,cool_rate,warm_season_ratio,warm_share,borough_name,district_number,cd_label,cd_short,year_start,year_end
307,3479,124433,9.673366329355831,27.95882121302227,359.64729149585236,0.3492382868640414,0.19143432020695603,0.11670020120724346,0.08738143144581777,0.05978729519977005,0.18741017533774074,0.0077608508192009195,0.0002874389192296637,1145,0.3291175625179649,540,0.15521701638401839,548,0.1575165277378557,1246,0.358148893360161,801,0.23023857430296063,1337,2142,668.5,428.4,1.5604575163398693,836,2643,278.6666666666667,293.6666666666667,0.9489216799091941,0.24029893647599884,Brooklyn,7,Brooklyn Community District 7,BK 7,2021,2023
308,7377,110281,4.237047583470489,66.89275577842058,1741.0708411156506,0.34404229361529076,0.09217839230039311,0.04554697031313542,0.06113596312864308,0.0031177985631015317,0.14368984682120103,0.31015317879896975,0.00013555645926528398,1963,0.26609732953775245,1000,0.13555645926528398,1482,0.20089467263115088,2932,0.39745153856581267,1930,0.2616239663819981,2544,4833,1272.0,966.6,1.3159528243327125,1743,5634,581.0,626.0,0.9281150159744409,0.23627490849939,Brooklyn,8,Brooklyn Community District 8,BK 8,2021,2023
309,4789,99978,4.209735851082984,47.900538118386045,1137.6010679548924,0.49196074337022344,0.19335978283566507,0.0549175193150971,0.08498642722906662,0.003758613489246189,0.15702651910628523,0.012111087909793277,0.0018793067446230946,1502,0.31363541449154314,728,0.15201503445395698,757,0.15807057840885363,1802,0.37627897264564625,1074,0.2242639381916893,1672,3117,836.0,623.4,1.3410330445941612,1033,3756,344.3333333333333,417.3333333333333,0.8250798722044729,0.2157026519106285,Brooklyn,9,Brooklyn Community District 9,BK 9,2021,2023
310,3321,127569,10.343856356738288,26.032970392493475,321.0601428969578,0.4513700692562481,0.10960554049984944,0.10870219813309244,0.11412225233363445,0.010538994278831678,0.20264980427582055,0.0027100271002710027,0.00030111412225233364,1025,0.30864197530864196,497,0.1496537187594098,553,0.1665161096055405,1246,0.3751881963264077,815,0.2454080096356519,1282,2039,641.0,407.8,1.5718489455615496,825,2496,275.0,277.3333333333333,0.9915865384615385,0.24841915085817526,Brooklyn,10,Brooklyn Community District 10,BK 10,2021,2023
311,3699,188487,9.588104413840973,19.624695602349234,385.7905421493203,0.570154095701541,0.08623952419572857,0.11408488780751555,0.09299810759664774,0.004325493376588267,0.1281427412814274,0.0010813733441470668,0.0029737766964044337,1174,0.3173830765071641,640,0.1730197350635307,673,0.181941065152744,1212,0.32765612327656124,959,0.25925925925925924,1388,2311,694.0,462.2,1.5015144958892255,788,2911,262.6666666666667,323.44444444444446,0.8120920645826177,0.21303054879697214,Brooklyn,11,Brooklyn Community District 11,BK 11,2021,2023
312,3372,192058,9.245891692148366,17.557196263628697,364.70252002448944,0.42526690391459077,0.16548042704626334,0.060794780545670224,0.19661921708185054,0.00741399762752076,0.13997627520759193,0.002372479240806643,0.0020759193357058124,840,0.2491103202846975,616,0.1826809015421115,637,0.18890865954922895,1279,0.379300118623962,957,0.28380782918149466,1135,2237,567.5,447.4,1.2684398748323649,813,2559,271.0,284.3333333333333,0.9531066822977726,0.2411032028469751,Brooklyn,12,Brooklyn Community District 12,BK 12,2021,2023
313,2858,110299,8.199825561345696,25.91138632263212,348.5439999446727,0.6648005598320503,0.15115465360391883,0.016794961511546535,0.043037088873338,0.005598320503848845,0.11756473058082575,0.0003498950314905528,0.0006997900629811056,982,0.3435969209237229,464,0.16235129461161651,442,0.15465360391882435,970,0.33939818054583626,631,0.22078376487053883,1032,1826,516.0,365.2,1.4129244249726178,829,2029,276.3333333333333,225.44444444444446,1.2257269590931492,0.2900629811056683,Brooklyn,13,Brooklyn Community District 13,BK 13,2021,2023
314,5808,164539,7.634075782339167,35.29862221114751,760.7993640089807,0.6113980716253443,0.13360881542699724,0.04321625344352617,0.09142561983471074,0.0032713498622589533,0.11053719008264463,0.004476584022038568,0.002066115702479339,1709,0.29424931129476584,899,0.15478650137741046,1056,0.18181818181818182,2144,0.3691460055096419,1473,0.25361570247933884,1945,3863,972.5,772.6,1.2587367331089827,1366,4442,455.3333333333333,493.55555555555554,0.9225574065736155,0.23519283746556474,Brooklyn,14,Brooklyn Community District 14,BK 14,2021,2023
315,3483,157254,12.23022608557017,22.148880155671716,284.7862317205581,0.6072351421188631,0.09072638530002872,0.06603502727533735,0.06316393913293138,0.004880849842090152,0.165374677002584,0.0017226528854435831,0.0008613264427217916,881,0.2529428653459661,620,0.17800746482917026,684,0.19638242894056848,1298,0.37266724088429515,977,0.28050531151306346,1197,2286,598.5,457.2,1.3090551181102363,793,2690,264.3333333333333,298.8888888888889,0.8843866171003716,0.22767728969279358,Brooklyn,15,Brooklyn Community District 15,BK 15,2021,2023
316,3647,94660,4.809348896368226,38.527361081766315,758.3147071642126,0.7046887853029887,0.1288730463394571,0.02275843158760625,0.041678091582122295,0.02056484782012613,0.0781464217164793,0.0021935837674801205,0.0010967918837400603,1407,0.3857965451055662,695,0.19056758979983549,534,0.14642171647929805,1011,0.27721414861530025,813,0.22292295037016727,1448,2199,724.0,439.8,1.6462028194633924,1069,2578,356.3333333333333,286.44444444444446,1.2439875872769588,0.29311763092953114,Brooklyn,16,Brooklyn Community District 16,BK 16,2021,2023
