ntacode,nta_name,borough_name,ntatype,ntatype_label,is_residential,count_night,population,area_km2,rate_per_1k_pop,rate_per_km2,share_noise___residential,share_noise___street/sidewalk,share_noise___commercial,share_noise___vehicle,share_noise___park,share_noise,share_noise___helicopter,share_noise___house_of_worship,count_evening,share_evening,count_early_am,share_early_am,count_core_night,share_core_night,count_predawn,share_predawn,count_late_night,late_night_share,count_weekend,count_weekday,weekend_uplift,count_warm,count_cool,warm_season_ratio,year_start,year_end
BK1771,Holy Cross Cemetery,Brooklyn,7,Airport,False,5,22,0.39730822061678245,227.27272727272725,12.584688009319278,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,3.0,0.6,0.0,0.0,0.0,0.0,1,0.2,3,2,3.75,0,5,0.0,2021,2023
BK1801,Flatlands,Brooklyn,0,Residential/Mixed,True,1293,67826,5.048106607536837,19.063485978828176,256.13563668991213,0.5382830626450116,0.11987625676720805,0.16550657385924208,0.06960556844547564,0.0,0.0920340293890178,0.005413766434648105,0.009280742459396751,596.0,0.4609435421500387,215.0,0.1662799690641918,168.0,0.12993039443155452,314.0,0.242846094354215,248,0.19180201082753287,579,714,2.027310924369748,366,927,1.1844660194174756,2021,2023
BK1802,Marine Park-Mill Basin-Bergen Beach,Brooklyn,0,Residential/Mixed,True,618,44974,5.469353294519069,13.741272735358207,112.99324924197313,0.5501618122977346,0.05501618122977346,0.061488673139158574,0.06472491909385113,0.008090614886731391,0.2524271844660194,0.008090614886731391,0.0,189.0,0.3058252427184466,94.0,0.15210355987055016,111.0,0.1796116504854369,224.0,0.36245954692556637,151,0.24433656957928804,221,397,1.3916876574307304,150,468,0.9615384615384616,2021,2023
BK1803,Canarsie,Brooklyn,0,Residential/Mixed,True,1535,87430,6.552799782955007,17.55690266498913,234.2510149620025,0.6110749185667752,0.1022801302931596,0.15765472312703582,0.04495114006514658,0.0013029315960912053,0.07947882736156352,0.0013029315960912053,0.001954397394136808,714.0,0.46514657980456026,282.0,0.18371335504885994,176.0,0.11465798045602606,363.0,0.23648208469055373,287,0.18697068403908795,701,834,2.1013189448441247,488,1047,1.3982808022922635,2021,2023
BK1891,Marine Park-Plumb Island,Brooklyn,9,Park/Recreation,False,18,0,4.042187428936913,,4.453034481069069,0.0,0.5,0.0,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.0,0.0,3.0,0.16666666666666666,5.0,0.2777777777777778,5.0,0.2777777777777778,5.0,0.2777777777777778,9,0.5,2,16,0.3125,13,5,7.799999999999999,2021,2023
BK1892,McGuire Fields,Brooklyn,9,Park/Recreation,False,0,0,0.9838083294206711,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,,0,0,,2021,2023
BK1893,Canarsie Park & Pier,Brooklyn,9,Park/Recreation,False,12,0,1.0732281839375328,,11.181219594861533,0.75,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,5.0,0.4166666666666667,3.0,0.25,1.0,0.08333333333333333,3.0,0.25,2,0.16666666666666666,4,8,1.25,5,7,2.142857142857143,2021,2023
BK5591,Prospect Park,Brooklyn,9,Park/Recreation,False,117,0,2.5388594778262688,,46.08368482850163,0.042735042735042736,0.15384615384615385,0.008547008547008548,0.05982905982905983,0.24786324786324787,0.02564102564102564,0.46153846153846156,0.0,32.0,0.27350427350427353,17.0,0.1452991452991453,20.0,0.17094017094017094,48.0,0.41025641025641024,30,0.2564102564102564,49,68,1.8014705882352942,33,84,1.1785714285714286,2021,2023
BK5691,Barren Island-Floyd Bennett Field,Brooklyn,9,Park/Recreation,False,4,14,5.079623780116995,285.7142857142857,0.7874598933206568,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.25,1.0,0.25,0.0,0.0,2,0.5,0,4,0.0,2,2,3.0,2021,2023
BK5692,Jamaica Bay (West),Brooklyn,9,Park/Recreation,False,0,0,3.693187480967564,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,,0,0,,2021,2023
